都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考
270008,,大阪府,,菓匠光楽堂光國,,Kasho Korakudo Mitsukuni,大阪府池田市 旭丘２丁目１２－３０,,34.8237075,135.449995,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ぽこあぽこ音楽教室,,Poco a poco Music School,大阪府大阪市阿倍野区 阿倍野筋４丁目２１－５ 宮井ビル　１階,,34.6391744,135.5107908,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,中道歯科医院,,Nakamichi Dental Clinic,大阪府大阪市平野区 喜連７丁目９－４,,34.6095536,135.5566739,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,同源院薬局,,Dogen-in Pharmacy,大阪府寝屋川市 日之出町２－２７,,34.7626653,135.6247944,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,マルかバツ堀江店,,Marukabatsu Horie Branch,大阪府大阪市西区 北堀江１丁目５－２ 四ツ橋新興産ビル旧館　１０７号,,34.6738783,135.4964642,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,Ｊ・ファーストクリーニング,,J Fast Cleaning,大阪府大阪市中央区 谷町６丁目４－４０,,34.674165,135.5160481,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,ステーキハウス素敵屋,,Steak House Sutekiya,大阪府大阪市中央区 宗右衛門町３－３ キャナルサイドビルｓｏｕｅｍｏｎｃｈｏ　５階,,34.6693294,135.5044692,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,エステティックサロン唯一,,Esthetic Salon Yuiitsu,大阪府堺市東区 日置荘原寺町９６－６ 萩天プラザ１０１号,,34.5377047,135.5348167,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,一芳亭,,Ippotei,大阪府大阪市浪速区 難波中２丁目６－２２,,34.6623656,135.5036942,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
270008,,大阪府,,宮脇鍼灸院,,Miyawaki Acupuncture Clinic,大阪府大阪市西淀川区歌島 ２丁目７－１,,34.7144339,135.4641542,公益財団法人 大阪観光局（Osaka Free Wi-Fi整備計画推進委員会事務局）,,,Osaka_Free_Wi-Fi_Lite,,https://www.osaka-er.jp/,
