WT,600 nM,300 nM,150 nM,75 nM
89.8,0.11781366,0.09456281,0.0679277,0.04591182
90.0,0.11815208,0.09471111,0.06774169,0.04557752
90.2,0.11846803,0.09491354,0.06746,0.04529037
90.4,0.11861511,0.0951858,0.06728439,0.0450369
90.6,0.11866737,0.09551426,0.06719546,0.04491165
90.8,0.11856258,0.09572629,0.06723348,0.04496148
91.0,0.11842952,0.09567161,0.06739485,0.04506387
91.2,0.11828381,0.09530946,0.06772235,0.04526311
91.4,0.1182785,0.09475945,0.06818996,0.0455518
91.6,0.11838736,0.09405643,0.06867099,0.04588915
91.8,0.11856605,0.09344021,0.06915063,0.04619325
92.0,0.11859366,0.09304186,0.06949707,0.04641594
92.2,0.11850741,0.09294702,0.06965201,0.04651523
92.4,0.11839022,0.09303065,0.06960909,0.0466075
92.6,0.1183147,0.09326191,0.06942394,0.04671543
92.8,0.11827206,0.09344528,0.06917891,0.04682204
93.0,0.1184385,0.09367921,0.06884137,0.04702526
93.2,0.11865005,0.09393405,0.06844868,0.04718401
93.4,0.11889246,0.09422361,0.06790945,0.04716636
93.6,0.11920668,0.0946131,0.06732181,0.04701942
93.8,0.11969792,0.0951661,0.06675443,0.04686179
94.0,0.12011763,0.09575609,0.06638453,0.0468399
94.2,0.12050896,0.09632178,0.06626067,0.04701762
94.4,0.12081095,0.09681566,0.06644777,0.04734889
94.6,0.12101396,0.09716215,0.06692133,0.04766696
94.8,0.12106787,0.09732483,0.06757661,0.04799991
95.0,0.12098733,0.09740783,0.06831051,0.04823101
95.2,0.12073441,0.0974397,0.06891904,0.04849869
95.4,0.12032087,0.09751428,0.06940161,0.04885681
95.6,0.1197685,0.09756063,0.06985664,0.04926583
95.8,0.11918441,0.09758052,0.07024363,0.04958951
96.0,0.11877732,0.09740212,0.07056742,0.04978607
96.2,0.1185513,0.09712976,0.07079936,0.04981506
96.4,0.11854054,0.09685779,0.07092279,0.0497112
96.6,0.11869045,0.09679582,0.0707177,0.049604380000000003
96.8,0.11890519,0.0968554,0.07026661,0.04944226
97.0,0.11909763,0.09705129,0.06954355,0.04918419
97.2,0.11934423,0.09740174,0.068813,0.04891966
97.4,0.11956984,0.09784609,0.06812272,0.04864813
97.6,0.11975557,0.09824744,0.0676485,0.04841701
97.8,0.1198536,0.09863628,0.06735504,0.04816422
98.0,0.11993191,0.09897196,0.06727195,0.04796442
98.2,0.12002529,0.09916607,0.06734497,0.04768652
98.4,0.12007533,0.09914394,0.0675764,0.04739602
98.6,0.1200673,0.09898813,0.06790798,0.04718664
98.8,0.12009426,0.09867901,0.06833104,0.04724713
99.0,0.12022715,0.09825834,0.06891178,0.0475037
